Track Number,Song Name,Album Name,Artist Name,Duration
1,Sajni ,Laapataa Ladies,"Ram Sampath, Arijit Singh, Prashant Pandey",2:50
2,Satranga ,ANIMAL,"Arijit Singh, Shreyas Puranik, Siddharth - Garima",4:31
3,Chaleya,Jawan,"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar",3:20
4,Tainu Khabar Nahi ,Munjya,"Sachin-Jigar, Arijit Singh",3:08
5,Soulmate,Ek Tha Raja,"Badshah, Arijit Singh",3:33
6,Heeriye ,Heeriye (feat. Arijit Singh),"Jasleen Royal, Arijit Singh, Dulquer Salmaan",3:14
7,Apna Bana Le,Bhediya (Original Motion Picture Soundtrack),"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",4:21
8,O Maahi,Dunki,"Pritam, Arijit Singh, Irshad Kamil",3:53
9,Naina ,Crew,"Diljit Dosanjh, Badshah, Raj Ranjodh",3:00
10,Born to Shine,G.O.A.T.,Diljit Dosanjh,3:33
11,Kinni Kinni,Ghost,"Diljit Dosanjh, thiarajxtt",3:33
12,Lemonade,Drive Thru,Diljit Dosanjh,2:46
13,Lalkara,Ghost,"Diljit Dosanjh, Intense, Sultaan",2:40
14,Hass Hass,Hass Hass,"Diljit Dosanjh, Sia, Greg Kurstin",2:33
15,Choli Ke Peeche ,Crew,"Diljit Dosanjh, Alka Yagnik, Ila Arun, IP Singh, Akshay & IP",2:53
16,Mombattiye,Mombattiye,"Diljit Dosanjh, Jaani, Bunny",3:05
17,Proper Patola,Namaste England (Original Motion Picture Soundtrack),"Badshah, Diljit Dosanjh, Aastha Gill",2:58
18,G.O.A.T.,G.O.A.T.,Diljit Dosanjh,3:43
19,295,Moosetape,Sidhu Moose Wala,4:30
20,Same Beef,Same Beef,"Bohemia, Sidhu Moose Wala",4:50
21,Never Fold,No Name,"Sidhu Moose Wala, Sunny Malton, SOE",3:03
22,410,410,"Sidhu Moose Wala, Sunny Malton, Offgrid",3:54
23,Drippy,Drippy,"Sidhu Moose Wala, Mxrci, AR Paisley",3:15
24,Attach,Attach,"Sidhu Moose Wala, Steel Banglez, Fredo",3:32
25,Dollar ,Dakuaan Da Munda,"Sidhu Moose Wala, Byg Byrd",2:37
26,East Side Flow,East Side Flow,Sidhu Moose Wala,3:44
27,Outlaw,Outlaw,Sidhu Moose Wala,3:00
28,These Days ,Moosetape,"Sidhu Moose Wala, Bohemia",3:29
29,One Love,One Love,Shubh,2:39
30,Cheques,Still Rollin,Shubh,3:03
31,MVP,MVP,Shubh,3:16
32,Bandana,Bandana,Shubh,2:34
33,King Shit,Leo,Shubh,3:46
34,Baller,Baller,"Shubh, Ikky",2:28
35,Dior,Still Rollin,Shubh,2:19
